feature,shap_abs_mean,shap_abs_std,n_windows
USREC,0.11878680540927104,0.0311789207865206,35
TB3MS,0.096225916626835,0.030140315897810667,35
INDPRO,0.09612810956412632,0.034909728999269335,35
RPI,0.09173005133177997,0.029306350345409106,35
S&P500,0.06773804805688208,0.0216286755394869,35
M2SL,0.034321722471859765,0.01875454610921617,35
CPIAUCSL,0.019923562922998003,0.013105376196904587,35
BUSLOANS,0.016181192714660002,0.01134888458260444,35
OILPRICEx,0.011399306839103018,0.015260119541530568,35
DPCERA3M086SBEA,0.010003697008981793,0.01047561416557803,35
