,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,USREC,1.2183267855053757,0.13148449937215986,405,deviance_mse
1,INDPRO,1.0398055004359796,0.054855840694254025,405,deviance_mse
2,UNRATE_lag12,1.0376856241947123,0.03542078630281545,405,deviance_mse
3,BUSLOANS,1.0078646347197562,0.006469195502012957,405,deviance_mse
4,RPI,1.0078280970140674,0.025788465081455818,405,deviance_mse
5,OILPRICEx,1.0056400997196362,0.010648901536917535,405,deviance_mse
6,TB3MS,1.004554436779689,0.014974818170765439,405,deviance_mse
7,DPCERA3M086SBEA,0.9999299008509956,0.004157091044821631,405,deviance_mse
8,CPIAUCSL,0.9948265523571062,0.010512189277934592,405,deviance_mse
9,M2SL,0.9947601451489576,0.005299069721813234,405,deviance_mse
10,S&P500,0.9500318441748175,0.03182901550784995,405,deviance_mse
