periode,method,MAE,RMSE,Bias,R2
1990,LightGBM + Bagging,0.2413487641807032,0.323087613469451,-0.173220837376609,-0.12934089111521363
1990,Ridge + Bagging,0.2541937378256837,0.29689108198340025,-0.03064580417978526,0.046372554708980385
1990,LinearRegression,0.40854805470002153,0.4981447836285553,0.044754344410206336,-1.684699058280465
1990,AR(p),0.4132145302661003,0.4800557321960776,-0.3739562237979895,-1.493261071830275
1990,AR(1),0.5016972899447016,0.5512941502508663,-0.492613518408767,-2.2881468500765414
1991,AR(1),0.9767126653299637,1.0660263017306086,-0.9767126653299637,-15.90530360964123
1991,Ridge + Bagging,0.9814487269483984,1.1361023522432436,-0.9144340176903508,-18.20092064951021
1991,LightGBM + Bagging,1.062864956961487,1.2239802843957093,-1.0207543921631415,-21.28619773438778
1991,AR(p),1.1106584619635493,1.172903386421922,-1.1106584619635493,-19.464993694082825
1991,LinearRegression,1.1284490550419586,1.223832917336961,-0.8581514648361409,-21.280831547136312
1992,AR(1),0.2529223561661907,0.3147327128831929,0.2175735812671756,-0.6761647474111965
1992,AR(p),0.3914613487128718,0.4480558711022041,-0.36414571677074786,-2.397013532620252
1992,Ridge + Bagging,0.7286331454054179,0.8020216840289769,-0.7286331454054179,-9.884416516802053
1992,LinearRegression,0.7906553858810349,0.8619325778385665,-0.7906553858810349,-11.571280693123267
1992,LightGBM + Bagging,0.8330825241768545,0.8757262365322209,-0.8330825241768545,-11.976861052235952
1993,LightGBM + Bagging,0.4884194169503589,0.5435927365022897,0.4426066849553913,-2.7856762542383384
1993,LinearRegression,0.5927055210219788,0.6907532686282414,0.5744280224954075,-5.1128266236091084
1993,Ridge + Bagging,0.620499563107671,0.6903072696908328,0.6085508895255733,-5.104935429597315
1993,AR(p),0.6931018411728673,0.7574721680464096,0.6931018411728673,-6.350714260903002
1993,AR(1),1.0496145986850338,1.0851426046750838,1.0496145986850338,-14.085850892995357
1994,AR(1),0.46117984875342016,0.4924402998872562,0.46117984875342016,-6.882535586735733
1994,LightGBM + Bagging,0.5066006845148722,0.534466935373019,0.5066006845148722,-8.285396460725023
1994,LinearRegression,0.5175826436454741,0.5601635713280382,0.5175826436454741,-9.199725651600316
1994,Ridge + Bagging,0.6051108046960679,0.6266336246828889,0.6051108046960679,-11.763981205413778
1994,AR(p),0.6162280977918003,0.6582553527391036,0.6162280977918003,-13.084698816025766
1995,AR(1),0.40637220486538106,0.5007996890224248,0.0017841856926304374,-0.6275460706441591
1995,AR(p),0.4358264619947334,0.5946822443003531,0.31674611594167695,-1.294960068625469
1995,LightGBM + Bagging,0.5506070526552934,0.6281043232558654,0.47856483710757686,-1.5601697110658002
1995,LinearRegression,0.5988254417811295,0.6853810672770162,0.5988254417811295,-2.048382057817785
1995,Ridge + Bagging,0.5991652522679262,0.6929766743099609,0.5991652522679262,-2.116322696882738
1996,Ridge + Bagging,0.20085547999017137,0.2513890182951261,0.10820229746039352,-0.5909592913971631
1996,LinearRegression,0.226999697636445,0.26341589891318684,0.07292541281642727,-0.7468291530130933
1996,LightGBM + Bagging,0.2505115644613409,0.2923954996947631,0.047702985608217306,-1.1523249067853212
1996,AR(p),0.33258738121566594,0.35654582471029755,0.1423564603419342,-2.2003477652171113
1996,AR(1),0.34601609631354785,0.44350938172815757,-0.13421283561994776,-3.951902503854642
1997,LightGBM + Bagging,0.28240551258549307,0.3529808018692777,0.28240551258549307,-2.6765869455557483
1997,Ridge + Bagging,0.3291565235364623,0.38415734365514803,0.3291565235364623,-3.3547271546151283
1997,LinearRegression,0.34301095065901777,0.4231636925921316,0.34301095065901777,-4.2839593329635095
1997,AR(1),0.37776988903168074,0.4327224716799599,0.365009920681511,-4.525372581873185
1997,AR(p),0.4012754005388206,0.46633824454398465,0.3941038592982424,-5.417187622686179
1998,AR(1),0.2459045236717791,0.29608532868566845,0.15059034106933653,-1.5710751829445289
1998,LightGBM + Bagging,0.29424040137118956,0.3759087179734196,0.29424040137118956,-3.1442485645157747
1998,AR(p),0.30925889572105186,0.3632235039734347,0.2693514376003098,-2.8692686747003076
1998,Ridge + Bagging,0.35525467078330647,0.42886054497349374,0.2937792366844156,-4.394027872308455
1998,LinearRegression,0.412017566820061,0.49072382575291107,0.2446524814055395,-6.0624484185878895
1999,LightGBM + Bagging,0.10535102855029423,0.13519697057322738,0.017060429836840505,-0.11528127233629126
1999,AR(1),0.1922944942713671,0.2228002375710661,0.003988691719785269,-2.028878052579738
1999,Ridge + Bagging,0.2095230852717498,0.28099571791480943,0.1959854253933704,-3.81781248391954
1999,AR(p),0.23827811619210404,0.26569979756232903,0.18697804185738195,-3.307575876759075
1999,LinearRegression,0.2837372902158056,0.36733732043163275,0.22705258614132628,-7.233426188725614
2000,Ridge + Bagging,0.1048200449343172,0.12125682407829035,0.006789381041327233,-0.35722006635878123
2000,LightGBM + Bagging,0.11519435568117435,0.14076673500745698,-0.05293940060036493,-0.8291021862762729
2000,LinearRegression,0.14066527712788504,0.17513502577349754,-0.07538761608941219,-1.8312871310169543
2000,AR(1),0.14163996448837873,0.18715427934140114,0.07224729332590538,-2.2332360869968517
2000,AR(p),0.16200290625754574,0.2193292663091242,0.13910942017667974,-3.4404917285875767
2001,LightGBM + Bagging,0.48818137386709415,0.572080485569777,0.09573168959057494,-0.09016321544400285
2001,Ridge + Bagging,0.508349709256855,0.6091772928042267,-0.1256993088018489,-0.23613148891587454
2001,LinearRegression,0.6078246770856165,0.6846198691563099,-0.0547651262086982,-0.5612636732611334
