date,UNRATE,TB3MS,RPI,INDPRO,DPCERA3M086SBEA,S&P 500,BUSLOANS,CPIAUCSL,OILPRICEx,M2SL
1960-01-01,-0.7999999999999998,0.2999999999999998,0.02097715179254145,0.09197961266552035,0.001204094064804373,0.017908850367966522,0.03121200973849092,0.0006811989364234883,0.0,0.005717183892858024
1960-02-01,-1.1000000000000005,-0.1900000000000004,0.01456538085102732,0.07696404730328021,0.006008683205801724,-0.02566285422166814,0.027762501648600946,0.0020422062917981876,0.0,0.0043660858610437
1960-03-01,-0.1999999999999993,-1.1800000000000002,0.006250216280172971,0.00796058616448958,0.021239958960522554,-0.07085712081934847,0.01827787697997696,0.0,0.0,0.005024294608744206
1960-04-01,0.0,-1.1199999999999997,0.0064889132842429476,-0.025914506039354634,0.03375164705485467,-0.04044151662107165,0.022113515467460765,0.00577153189270474,0.0,0.0063513501156826635
1960-05-01,0.0,-0.6699999999999999,0.007746737775562451,-0.018120841729503567,0.009039609577725205,-0.010090175697333947,0.027403865060523724,0.0054255812984820295,0.0,0.008343115306393756
1960-06-01,0.40000000000000036,-0.8500000000000001,0.00663362130502243,-0.02175095917942249,-0.005299099086880421,0.039905544173540974,0.03289783289866266,0.006777389547596435,0.0,0.009973486926759811
1960-07-01,0.40000000000000036,-0.9300000000000002,0.00495995760932999,-0.017275374528467946,-0.01854079438706968,0.0019718568726716512,0.021502214065783676,0.0003384667488735005,0.0,0.013240842236998063
1960-08-01,0.39999999999999947,-0.9900000000000002,0.0009577080420957174,-0.01729097802265489,0.0008745081449323955,0.023092407139743365,0.010516106277691506,0.0013518082491144057,0.0,0.019743977989691075
1960-09-01,0.0,0.020000000000000018,0.001496021138872372,-0.015162815853701161,0.005858539660911877,-0.04372964061194384,0.0010681876869091944,0.0,0.0,0.019977739903761282
1960-10-01,0.39999999999999947,0.0,0.002654232734930595,-0.012854306969907192,0.008633325881479248,-0.03851895371338676,0.003109004500164936,0.006745388139531627,0.0,0.01760149744133166
1960-11-01,0.2999999999999998,0.07000000000000028,-5.3998268762178725e-05,-0.02591526953943557,0.0061002367821396675,-0.018575279574609027,0.008620950756208945,0.005724885142362801,0.0,0.012949355439017651
1960-12-01,1.2999999999999998,-0.22999999999999998,-0.005937037052408556,-0.03466987217926487,-0.010997361522859794,0.035663666669080385,0.016873500014106035,0.006731765576479809,0.0,0.012886776276356926
1961-01-01,1.3999999999999995,-0.05999999999999961,2.523760381123452e-05,-0.03228095180774693,-0.013322739545855722,0.1056954679302593,0.012233205255661517,0.003020643343921492,0.0,0.014753314419950314
1961-02-01,2.1000000000000005,0.04999999999999982,0.008219270960351466,-0.019278040263284613,-0.00622511970456241,0.11403023421410285,0.006399409640664988,0.002012748079697424,0.0,0.017851924519523443
1961-03-01,1.5,0.14000000000000012,0.016895761962349987,0.006064124849488373,0.01848849700325017,0.12122000201424665,-0.0012666818080653286,0.001005867645580416,0.0,0.01870991632251595
1961-04-01,1.7999999999999998,0.04999999999999982,0.010125046399956261,0.02519643316683906,0.016471765024817397,0.09740868880879638,0.004199487468131924,-0.001005867645580416,0.0,0.018297040410871546
1961-05-01,2.0,-0.1299999999999999,0.013952545188835153,0.041696340625910544,0.018928009885518904,0.06732937938056249,0.00437417819502528,0.0,0.0,0.017849229158642288
1961-06-01,1.5,-0.06000000000000005,0.0192648471507475,0.04953875118223117,0.008964815044102181,0.023124199791602962,0.009469478609267057,0.0,0.0,0.018674679025225238
1961-07-01,1.5,-0.04999999999999982,0.01997141722284379,0.04063120964091205,0.0054717175649448,-0.005941969185293772,0.008694066131357925,0.003683245416296721,0.0,0.017661187172912207
1961-08-01,1.0,0.10000000000000009,0.012820999661114385,0.03440612408442423,0.0029368596733094776,0.019212743781065633,0.01232459176088918,0.003345603655922069,0.0,0.016620881236041107
1961-09-01,1.2000000000000002,-0.050000000000000266,0.004634785245420048,0.01937494630542025,0.006154990636889401,0.024685178779168204,0.007481618421816272,0.004680717338891416,0.0,0.015907340629289557
1961-10-01,0.40000000000000036,0.05999999999999961,0.011593579995285097,0.0269360668863583,0.015392875337095102,0.038374012881615016,0.009268513540971135,0.002003339568175111,0.0,0.016750810424816187
1961-11-01,0.0,0.08999999999999986,0.01993211695822783,0.03326566865197256,0.021516604285048313,0.04739131184357692,0.011120239921118547,0.0013351136829693466,0.0,0.017549618337779016
1961-12-01,-0.5999999999999996,0.3200000000000003,0.02469894640357584,0.04307470793802137,0.022823813565256756,0.06448276579201284,0.023773679326878128,0.0010001667778238854,0.0,0.01804560246917486
1962-01-01,-0.7999999999999998,0.4200000000000004,0.013893498645589197,0.015383692347382016,0.01688258488849881,0.015612777924774335,0.023171783882501185,0.0019993342214821297,0.0,0.019145065759383684
1962-02-01,-1.4000000000000004,0.25,0.009219050811089424,0.016224859264052593,0.006734032181344052,-0.012172832546164969,0.016898767124087666,0.004326849819190848,0.0,0.01989672169645651
1962-03-01,-1.3000000000000007,0.1200000000000001,0.010085801009852347,0.012890772286628494,0.008043573057446629,-0.020418930916322076,0.006860024923069474,0.00531739371869433,0.0,0.022399993452667744
1962-04-01,-1.4000000000000004,0.009999999999999787,0.016192672550888965,0.023708983363012415,0.01121617425441368,-0.014877754003406629,0.01252768428501394,0.005643168502646567,0.0,0.02342713289514009
1962-05-01,-1.5999999999999996,-0.040000000000000036,0.0133825818292852,0.006413772558523156,0.01935183762036541,-0.10865718710644856,0.02192622849571002,0.004308208817689785,0.0,0.021524972991696423
