date,UNRATE,TB3MS,RPI,INDPRO,DPCERA3M086SBEA,S&P500,BUSLOANS,CPIAUCSL,OILPRICEx,M2SL,USREC
1960-01-31,-0.7999999999999998,0.2999999999999998,0.0209771517925414,0.0919796126655203,0.0012040940648043,0.0179088503679665,0.0115783288665221,-0.0061564345411806,0.0,0.0013230581813949,0
1960-02-29,-1.1000000000000003,-0.1900000000000004,0.0145653808510273,0.0769640473032802,0.0060086832058017,-0.0256628542216681,0.0119052773099768,-0.0037667968876675,0.0,0.0020071968144135,0
1960-03-31,-0.1999999999999993,-1.1800000000000002,0.0062502162801729,0.0079605861644895,0.0212399589605225,-0.0708571208193484,-0.0083555665288033,-0.0054551788880381,0.0,0.0013237016556111,0
1960-04-30,0.0,-1.1199999999999997,0.0064889132842429,-0.0259145060393546,0.0337516470548546,-0.0404415166210716,-0.0090984942710301,0.0050903329562812,0.0,0.0006341662228246,1
1960-05-31,0.0,-0.6699999999999999,0.0077467377755624,-0.0181208417295035,0.0090396095777252,-0.0100901756973339,-0.0003586365880772,0.0033833750066838,0.0,0.00397702944535,1
1960-06-30,0.4000000000000003,-0.8500000000000001,0.0066336213050224,-0.0217509591794224,-0.0052990990868804,0.0399055441735409,0.0146199559186857,0.0067773895475964,0.0,0.0049491923180156,1
1960-07-31,0.4000000000000003,-0.9300000000000002,0.0049599576093299,-0.0172753745284679,-0.0185407943870696,0.0019718568726716,-0.000611301401677,-0.0054330651438312,0.0,0.0068894921213153,1
1960-08-31,0.3999999999999994,-0.9900000000000002,0.0009577080420957,-0.0172909780226548,0.0008745081449323,0.0230924071397433,-0.0168877587828322,-0.0040737730493676,0.0,0.0114008626832973,1
1960-09-30,0.0,0.02,0.0014960211388723,-0.0151628158537011,0.0058585396609118,-0.0437296406119438,-0.0318296452117534,-0.0067773895475964,0.0,0.0100042529770014,1
1960-10-31,0.3999999999999994,0.0,0.0026542327349305,-0.0128543069699071,0.0086333258814792,-0.0385189537133867,-0.0183932095656187,0.0064069213906581,0.0,0.0043606552043335,1
1960-11-30,0.2999999999999998,0.0700000000000002,-5.3998268762178725e-05,-0.0259152695394355,0.0061002367821396,-0.018575279574609,-0.0018951555214825,0.0043730768932483,0.0,-0.0067946225506734,1
1960-12-31,1.2999999999999998,-0.2299999999999999,-0.0059370370524085,-0.0346698721792648,-0.0109973615228597,0.0356636666690803,0.0158053123271968,0.0067317655764798,0.0,-0.0070909636274043,1
1961-01-31,1.3999999999999997,-0.0599999999999996,2.523760381123452e-05,-0.0322809518077469,-0.0133227395458557,0.1056954679302593,0.0091242007554965,-0.0037247447956101,0.0,-0.0028481830213813,1
1961-02-28,2.1000000000000005,0.0499999999999998,0.0082192709603514,-0.0192780402632846,-0.0062251197045624,0.1140302342141028,-0.0022215411155439,-0.0037121370626653,0.0,0.0049025690805057,1
1961-03-31,1.5,0.1400000000000001,0.0168957619623499,0.0060641248494883,0.0184884970032501,0.1212200020142466,-0.0181401818221713,-0.0057258979308993,0.0,0.005823140046159,0
1961-04-30,1.7999999999999998,0.0499999999999998,0.0101250463999562,0.025196433166839,0.0164717650248173,0.0974086888087963,-0.0080337177875295,-0.0040265109895019,0.0,0.0035437259909212,0
1961-05-31,2.0,-0.1299999999999999,0.0139525451888351,0.0416963406259105,0.0189280098855189,0.0673293793805624,-0.0020252314456397,-0.0020127480796974,0.0,-2.695360881155296e-06,0
1961-06-30,1.5,-0.06,0.0192648471507475,0.0495387511822311,0.0089648150441021,0.0231241997916029,0.0107361604173323,-0.0010058676455804,0.0,-3.523729729071334e-05,0
1961-07-31,1.5,-0.0499999999999998,0.0199714172228437,0.040631209640912,0.0054717175649448,-0.0059419691852937,0.004494578663226,0.0046891130618771,0.0,-0.0006358532379593,0
1961-08-31,1.0,0.1,0.0128209996611143,0.0344061240844242,0.0029368596733094,0.0192127437810656,0.0079504135658639,0.003345603655922,0.0,-0.0012283479226011,0
1961-09-30,1.2000000000000002,-0.0500000000000002,0.00463478524542,0.0193749463054202,0.0061549906368894,0.0246851787791682,-0.0019878601874507,0.0046807173388914,0.0,-0.0027673383959356,0
1961-10-31,0.4000000000000003,0.0599999999999996,0.011593579995285,0.0269360668863583,0.0153928753370951,0.038374012881615,0.0005744474096132,-0.0016799058481216,0.0,-0.000910376748096,0
1961-11-30,0.0,0.0899999999999998,0.0199321169582278,0.0332656686519725,0.0215166042850483,0.0473913118435769,-0.0012043518397706,-0.0020104899729527,0.0,0.0009287371017379,0
1961-12-31,-0.5999999999999996,0.3200000000000003,0.0246989464035758,0.0430747079380213,0.0228238135652567,0.0644827657920128,0.0162920609050618,-0.0036805505610675,0.0,0.0021382618398853,0
1962-01-31,-0.7999999999999998,0.4200000000000004,0.0138934986455891,0.015383692347382,0.0168825848884988,0.0156127779247743,0.01390327034153,-4.005346692981249e-06,0.0,0.0023942553345674,0
1962-02-28,-1.4000000000000004,0.25,0.0092190508110894,0.0162248592640525,0.006734032181344,-0.0121728325461649,0.0057785272029691,0.0029917361362215,0.0,0.0023471033586774,0
1962-03-31,-1.3000000000000007,0.1200000000000001,0.0100858010098523,0.0128907722866284,0.0080435730574466,-0.020418930916322,-0.0169136544038086,0.0043172269408704,0.0,0.0043543909834928,0
1962-04-30,-1.4000000000000004,0.0099999999999997,0.0161926725508889,0.0237089833630124,0.0112161742544136,-0.0148777540034066,-0.0106440995974872,0.0036438342811644,0.0,0.0042820671357564,0
