feature,shap_abs_mean,shap_abs_std,n_windows
UNRATE_lag12,0.163361276215944,0.06107434217296458,35
TB3MS,0.12379252810953348,0.04046848153134281,35
OILPRICEx,0.00801210195850045,0.012701698998669169,35
S&P500,0.0006373711497015634,0.001956901807178807,35
M2SL,0.0005588219351263873,0.0014452482202592246,35
INDPRO,0.00010209468802326251,0.0006003492985056707,35
RPI,7.64934730500823e-05,0.0002103231490852281,35
CPIAUCSL,6.211371789594597e-06,1.988864832224432e-05,35
BUSLOANS,1.6321407007030035e-06,9.655874602603082e-06,35
DPCERA3M086SBEA,2.530788229969432e-07,1.497234508262862e-06,35
