,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,UNRATE_lag12,1.0600997288108485,0.03294204364161761,34,mean_absolute_error
1,USREC,1.0585090977187257,0.034151237602896935,34,mean_absolute_error
2,INDPRO,1.0098251559006703,0.0490160889423112,34,mean_absolute_error
3,M2SL,1.0043248386599573,0.009281329833127877,34,mean_absolute_error
4,DPCERA3M086SBEA,1.0019815638543579,0.0027018702286005078,34,mean_absolute_error
5,OILPRICEx,1.0002636603522084,0.001498203956929154,34,mean_absolute_error
6,BUSLOANS,0.9998748544105759,0.002819120040981522,34,mean_absolute_error
7,CPIAUCSL,0.9967074987043766,0.007305614494740115,34,mean_absolute_error
8,RPI,0.9964137300501591,0.010160236799975101,34,mean_absolute_error
9,TB3MS,0.9943677897045068,0.029652883743707385,34,mean_absolute_error
10,S&P500,0.9589447316663815,0.021520985978919934,34,mean_absolute_error
