m1,m2,n,DM,pval
AR(1),AR(p),428,-0.1234263205184206,0.9017695156603569
AR(1),LightGBM + Bagging,428,1.355566532778842,0.17523712624547594
AR(1),LinearRegression,428,1.182856176271746,0.236866152339966
AR(1),Ridge + Bagging,428,1.209268645343306,0.2265596527074527
AR(p),LightGBM + Bagging,428,1.2260046299143452,0.2201969327309956
AR(p),LinearRegression,428,1.0697324935084027,0.2847397359320536
AR(p),Ridge + Bagging,428,1.0889403066622851,0.27618021021096495
LightGBM + Bagging,LinearRegression,428,-0.905482397984915,0.3652098808323947
LightGBM + Bagging,Ridge + Bagging,428,-1.2204587013842272,0.22229103612977852
LinearRegression,Ridge + Bagging,428,-0.4402152382727414,0.6597812241307739
