m1,m2,n,DM,pval
AR(1),AR(p),428,0.35814745314397717,0.7202329686713425
AR(1),LinearRegression,428,0.6615845931718723,0.5082374841385477
AR(1),Ridge + Bagging,428,0.6990189960954725,0.48454015940404216
AR(p),LinearRegression,428,0.5994855963513106,0.548849112298549
AR(p),Ridge + Bagging,428,0.6695393887416585,0.503151463321938
LinearRegression,Ridge + Bagging,428,0.17732582546691653,0.8592524664408365
