method,MAE,RMSE,Bias,R2
LightGBM + Bagging,0.7817541149254956,1.3851987747426515,0.007853517846486809,0.17556249014622238
Ridge + Bagging,0.8245592106142755,1.4706589699087333,0.06372591023312506,0.07069666068262437
LinearRegression,0.8267306706458788,1.4600512366498413,0.036055159279461964,0.08405427847666402
AR(p),0.8711505322877339,1.8734981746838215,0.054779282716457385,-0.508134566216826
AR(1),0.8874579217772237,1.8657037494062263,0.05420204680268572,-0.49561190700660673
