feature,shap_min,shap_q25,shap_median,shap_q75,shap_max,n_points
S&P500,-0.5105890729913509,-0.055971860449495314,0.03526802456345956,0.11300815072407482,0.3502271147827059,417
OILPRICEx,-0.3532221295430389,-0.06368916078941564,0.012128953365658586,0.07084599078809384,0.3898572921852788,417
M2SL,-0.07408539708377818,-0.009916345957340277,0.005747215258880813,0.021232017391776065,0.0914721114903254,417
RPI,-0.2700058979387024,-0.03361955078059646,0.005012673053943127,0.03978321481237445,0.25247016099794917,417
BUSLOANS,-0.052541349601009764,-0.009095329332108206,0.0001383435463103626,0.01186834719510407,0.05551906149726875,417
CPIAUCSL,-0.2237215309921923,-0.03908614904425738,-5.770641916106308e-05,0.03895375666844166,0.2261420206882052,417
DPCERA3M086SBEA,-0.1350909810776697,-0.019441719931815322,-0.0021988084648368734,0.015591887531987926,0.10667402934621263,417
TB3MS,-0.35248581783871963,-0.04635412932202158,-0.011190354289698213,0.01156267661356986,0.3487212254529061,417
INDPRO,-0.6357534143806528,-0.14394587604273013,-0.0520995911236915,0.05349124036444283,0.9376352098047298,417
USREC,-0.13514043143022936,-0.13514043143022936,-0.13514043143022936,-0.13514043143022936,0.9910298304883487,417
