feature,shap_min,shap_q25,shap_median,shap_q75,shap_max,n_points
S&P500,-0.5149442588181561,-0.056449285185401654,0.03556885121417168,0.11397207949259214,0.3532144567513233,417
OILPRICEx,-0.3502205475609364,-0.06314794827329144,0.012025884942592284,0.0702439615502065,0.38654439492901554,417
RPI,-0.3011529295204999,-0.03749779647049917,0.005590919259349488,0.044372481408572174,0.2815943250925048,417
M2SL,-0.06157525390392079,-0.008241860665629664,0.004776734049301076,0.017646755140053583,0.07602602823030312,417
BUSLOANS,-0.0758395614129644,-0.013128436796764356,0.00019968870149255532,0.017131083476321297,0.08013766882629411,417
CPIAUCSL,-0.19839732798120657,-0.03466178466178333,-5.117432961478334e-05,0.03454437846716973,0.20054382986667665,417
DPCERA3M086SBEA,-0.11614716345724527,-0.016715406201042074,-0.001890469401726757,0.013405436064925681,0.09171512283261939,417
TB3MS,-0.3319164209084736,-0.043649122660400705,-0.010537338402176173,0.010887933764910304,0.3283715122408284,417
UNRATE_lag12,-0.10174450267735177,-0.022217069531228623,-0.011052712982872514,0.011276000113839637,0.14662521600174322,417
INDPRO,-0.6752423785275024,-0.15288687959782046,-0.05533568681647397,0.05681377646907359,0.9958751536969281,417
USREC,-0.14582889088397089,-0.14582889088397089,-0.14582889088397089,-0.14582889088397089,1.0694118664824532,417
