,variable,perm_score_ratio_mean,perm_score_ratio_std,n_windows,metric
0,USREC,1.1056982987846102,0.04603382624396844,405,mean_absolute_error
1,UNRATE_lag12,1.0219839323992876,0.017547416874768997,405,mean_absolute_error
2,INDPRO,1.0115939018435365,0.030648115961820554,405,mean_absolute_error
3,OILPRICEx,1.0080975219843866,0.00996660753166731,405,mean_absolute_error
4,RPI,1.005928943104012,0.015452925396343818,405,mean_absolute_error
5,TB3MS,1.000961781416668,0.007503304649693451,405,mean_absolute_error
6,BUSLOANS,1.0008089996334295,0.003255788807364354,405,mean_absolute_error
7,DPCERA3M086SBEA,1.0002843558375867,0.0035595488858304546,405,mean_absolute_error
8,M2SL,0.9983507691365137,0.0020647817898253444,405,mean_absolute_error
9,CPIAUCSL,0.9944434159304878,0.010105391391189801,405,mean_absolute_error
10,S&P500,0.9630059648326375,0.012394216777424659,405,mean_absolute_error
