method,MAE,RMSE,Bias,R2,n
Ridge + Bagging,0.8245592106142755,1.4706589699087333,0.06372591023312506,0.07069666068262437,428.0
LinearRegression,0.8267306706458788,1.4600512366498413,0.036055159279461964,0.08405427847666402,428.0
AR(p),0.8711505322877339,1.8734981746838215,0.054779282716457385,-0.508134566216826,428.0
AR(1),0.8874579217772237,1.8657037494062263,0.05420204680268572,-0.49561190700660673,428.0
