date,method,MAE_12m,RMSE_12m,Bias_12m
1990-01-01,AR(1),,,
1990-02-01,AR(1),,,
1990-03-01,AR(1),,,
1990-04-01,AR(1),0.38585604221057423,0.4222004847912319,-0.38585604221057423
1990-05-01,AR(1),0.39749545734929564,0.42666056038781686,-0.39749545734929564
1990-06-01,AR(1),0.3403299859936811,0.3901210721352291,-0.3221624429218117
1990-07-01,AR(1),0.3505333949111503,0.39328432775955613,-0.3349612151352623
1990-08-01,AR(1),0.3997715395562093,0.4523406756858562,-0.3861458822523073
1990-09-01,AR(1),0.4271616978075233,0.4777933496073286,-0.41505000242627704
1990-10-01,AR(1),0.44908894293274687,0.49723791824754615,-0.4381884170896252
1990-11-01,AR(1),0.4732408348531841,0.5207806185693262,-0.46333126590489165
1990-12-01,AR(1),0.5016972899447016,0.5512941502508663,-0.49261351840876694
1991-01-01,AR(1),0.5687084089154378,0.6176220211407003,-0.5596246373795031
1991-02-01,AR(1),0.6357401087849205,0.7002805256843988,-0.6266563372489858
1991-03-01,AR(1),0.7026823605371936,0.7940987791530848,-0.6935985890012589
1991-04-01,AR(1),0.7724817214828182,0.8558531721567583,-0.7633979499468836
1991-05-01,AR(1),0.8478563749206333,0.9314512400556735,-0.8387726033846986
1991-06-01,AR(1),0.9888049612400643,1.058944567720081,-0.9888049612400645
1991-07-01,AR(1),1.0447665995318405,1.0977380820979414,-1.0447665995318405
1991-08-01,AR(1),1.0536598332379719,1.1041824596523635,-1.0536598332379719
1991-09-01,AR(1),1.0484982407312395,1.101302369943816,-1.0484982407312395
1991-10-01,AR(1),1.0516054976780025,1.1031772498530081,-1.0516054976780025
1991-11-01,AR(1),1.0128404171635887,1.0861019212632426,-1.0128404171635885
1991-12-01,AR(1),0.9767126653299639,1.0660263017306086,-0.9767126653299637
1992-01-01,AR(1),0.9126732493439729,1.0295799801760324,-0.9126732493439729
1992-02-01,AR(1),0.8194285510854128,0.9684162245999055,-0.8034579679452745
1992-03-01,AR(1),0.7412505770483212,0.8857985662943967,-0.6401650819523852
1992-04-01,AR(1),0.6621339339913456,0.8234026672093122,-0.5278339470176476
1992-05-01,AR(1),0.5783189423635697,0.7322801013159093,-0.38689077878576333
1992-06-01,AR(1),0.4570163420710995,0.5378150749730654,-0.2172124349034367
1992-07-01,AR(1),0.3671703025129937,0.4375540218405657,-0.12650955647532916
1992-08-01,AR(1),0.30768601415977287,0.36421574581300575,-0.04413428540434996
1992-09-01,AR(1),0.25905903334511254,0.32279769814269843,0.004629376070530618
1992-10-01,AR(1),0.24130974565731755,0.2893227795772896,0.10083362711955492
1992-11-01,AR(1),0.23441454856668112,0.28431743849637636,0.13553489467635008
1992-12-01,AR(1),0.2529223561661907,0.3147327128831928,0.2175735812671756
1993-01-01,AR(1),0.28827036915969745,0.3592277443114646,0.28827036915969745
1993-02-01,AR(1),0.35274088616354154,0.43735285989551914,0.35274088616354154
1993-03-01,AR(1),0.37982423403058996,0.4772231952337449,0.37982423403058996
1993-04-01,AR(1),0.4301466218160595,0.527434622586269,0.4301466218160596
1993-05-01,AR(1),0.4852333242576708,0.5936041213813087,0.4852333242576708
1993-06-01,AR(1),0.5809845926928158,0.7197013154960957,0.5809845926928158
1993-07-01,AR(1),0.7005783127194265,0.8311627689806453,0.7005783127194265
1993-08-01,AR(1),0.7979572397438548,0.9117963619733308,0.7979572397438548
1993-09-01,AR(1),0.9150996258810206,0.9981146239039037,0.9150996258810206
1993-10-01,AR(1),0.9375504549916625,1.0116411551966191,0.9375504549916625
1993-11-01,AR(1),1.0158544212089575,1.0597753854571617,1.0158544212089575
1993-12-01,AR(1),1.0496145986850338,1.0851426046750838,1.0496145986850338
1994-01-01,AR(1),1.0584652883081722,1.0907508076495582,1.0584652883081722
1994-02-01,AR(1),1.0147245300020182,1.0661303125685566,1.0147245300020182
1994-03-01,AR(1),0.9682493318798365,1.0415735634690018,0.9682493318798363
1994-04-01,AR(1),0.9466315625724796,1.027501123286556,0.9466315625724796
1994-05-01,AR(1),0.9222183951927749,1.0069251477207102,0.9222183951927749
1994-06-01,AR(1),0.8364181787758445,0.9248021832977357,0.8364181787758445
1994-07-01,AR(1),0.7421056012761084,0.830859247776786,0.7421056012761084
1994-08-01,AR(1),0.6588954267575531,0.7457124881908447,0.6588954267575531
1994-09-01,AR(1),0.5615541664714582,0.6292570305462174,0.5615541664714582
1994-10-01,AR(1),0.5587998696761487,0.6260817161775482,0.5587998696761487
1994-11-01,AR(1),0.508768786025008,0.5579412499902514,0.508768786025008
1994-12-01,AR(1),0.46117984875342016,0.4924402998872562,0.46117984875342016
1995-01-01,AR(1),0.44692024144794157,0.47303554047053575,0.44692024144794157
1995-02-01,AR(1),0.4935578961170924,0.5310408034241827,0.4935578961170924
1995-03-01,AR(1),0.537361969578432,0.5739197213893533,0.537361969578432
1995-04-01,AR(1),0.5061924335587545,0.5542074804134954,0.5061924335587545
1995-05-01,AR(1),0.45809161043150004,0.5162607082847744,0.43581800995808756
1995-06-01,AR(1),0.4295310662878338,0.5029045091526863,0.39610070647546847
1995-07-01,AR(1),0.412190697425657,0.4958040813955918,0.3620219514138945
1995-08-01,AR(1),0.40336764668582054,0.49125547657208796,0.31961651442422656
1995-09-01,AR(1),0.4003774140357199,0.4899115198904075,0.28286781471196526
1995-10-01,AR(1),0.36973152370642826,0.45600948625425997,0.19566567704936258
1995-11-01,AR(1),0.38095790422706505,0.46991554628200477,0.1000874609302582
1995-12-01,AR(1),0.4063722048653811,0.5007996890224248,0.0017841856926304467
1996-01-01,AR(1),0.4124063270553889,0.5080675052009116,-0.09947690201872565
1996-02-01,AR(1),0.4106567161970412,0.50498040916517,-0.24843270103419882
