m1,m2,n,DM,pval
AR(1),AR(p),428,0.3485240811850396,0.7274466319619204
AR(1),LightGBM + Bagging,428,1.1237873265458447,0.2611032592032887
AR(1),LinearRegression,428,0.6438079077131155,0.5197000053145631
AR(1),Ridge + Bagging,428,0.6802364534674626,0.4963547539628208
AR(p),LightGBM + Bagging,428,1.18068044135288,0.23772969416919087
AR(p),LinearRegression,428,0.583377502249089,0.5596391995326258
AR(p),Ridge + Bagging,428,0.6515489590388666,0.5146921836153941
LightGBM + Bagging,LinearRegression,428,-2.0120716396031426,0.04421238574346442
LightGBM + Bagging,Ridge + Bagging,428,-2.165936397889152,0.030316047462326523
LinearRegression,Ridge + Bagging,428,0.17256110534559885,0.8629964266151595
