feature,shap_abs_mean,shap_abs_std,n_windows
USREC,0.1689440081986959,0.05672006039113287,417
RPI,0.09735024924025944,0.03574716579147821,417
S&P500,0.09345942079349513,0.02156765786764738,417
INDPRO,0.08574369479182174,0.02359577254255844,417
UNRATE_lag12,0.07196124043303952,0.04350755751057858,417
BUSLOANS,0.03383591125461166,0.013739116296335662,417
TB3MS,0.026560417260570342,0.011415758809516143,417
CPIAUCSL,0.02349050251066829,0.010973363915697813,417
OILPRICEx,0.02133196471664507,0.011916788029766283,417
M2SL,0.012161155776058556,0.0061583269830968995,417
DPCERA3M086SBEA,0.007256674569780468,0.008418274723395357,417
