date,UNRATE,TB3MS,RPI,INDPRO,DPCERA3M086SBEA,S&P 500,BUSLOANS,CPIAUCSL,OILPRICEx,M2SL
1959-02-01,-0.0999999999999996,-0.1199999999999996,,,,,,,,
1959-03-01,-0.3000000000000007,0.0999999999999996,0.00645660422337,0.0142999250915045,0.0094043563687526,0.0250621609219248,-0.0025500898674382,-0.0006902500583763,-0.0100503358535015,0.005200219727107
1959-04-01,-0.3999999999999994,0.1500000000000003,0.0065103377388107,0.0210800991939419,-0.0036215521701032,0.0165993569444093,0.0121011259046337,0.0013801433164921,0.0,0.0031072008427486
1959-05-01,-0.1000000000000005,-0.1100000000000003,0.0057964180882423,0.0149535256743056,0.012042519233983,0.0149490007905166,0.0208260558731465,0.0017231279527818,0.0,0.0072128081892408
1959-06-01,-0.0999999999999996,0.3700000000000001,0.0030682583504999,0.0011374730652171,0.0036420601902076,-0.008664063901338,0.0227112916555722,0.0003393147368777,0.0,0.0064813462433503
1959-07-01,0.0999999999999996,-0.0099999999999997,-0.0005799841487679,-0.0242368194050759,-0.0033860438037609,0.0389127592368208,0.0140126803400781,-0.0010344127619674,0.0,0.0037332471663678
1959-08-01,0.1000000000000005,0.1799999999999997,-0.0056532793669568,-0.0344638365848566,0.0059975934265081,-0.0057075864193647,0.0112075202701329,-0.0003445247408309,0.0,0.004056800695614
1959-09-01,0.2999999999999998,0.6600000000000001,0.0007634587478921,-0.0012107874071958,0.0100007163018611,-0.0403661500605148,0.0044925058695346,0.0013674002850874,0.0,0.0010116338748442
1959-10-01,0.2000000000000001,0.0099999999999997,0.0012713899587479,-0.0072911362942544,-0.0068251023279746,-0.0008768084735342,0.0039336547323012,0.0010169420130141,0.0,-0.0006743088589953
1959-11-01,0.0999999999999996,0.1000000000000005,0.0075592396941619,0.0060788811035603,-0.0004439793305417,0.0040269685864604,0.0074310637367882,-0.0034129725962399,0.0,0.0020215640307812
1959-12-01,-0.5,0.3399999999999998,0.0101920225443139,0.0599819787963005,-0.0011425670914175,0.0314756398947659,0.0152687250396907,0.0020422062917981,0.0,0.0023533377813471
1960-01-01,-0.0999999999999996,-0.1400000000000005,0.0032258895540655,0.0259187527656594,0.0027906404867636,-0.0175937581132599,0.0085122209620118,-0.0034032136471728,0.0,0.0013422820807296
1960-02-01,-0.4000000000000003,-0.3899999999999997,0.0011474687526478,-0.0089366842586797,0.0043606098104556,-0.0395447360031742,0.0039815556468982,0.0027220147107493,0.0,0.0006704659989669
1960-03-01,0.6000000000000005,-0.6499999999999999,0.0018768579734596,-0.0090214823424901,0.0140887086633032,-0.0137186267029143,0.0057841003710668,-0.0013610073553746,0.0,0.0030115465290476
1960-04-01,-0.2000000000000001,-0.08,0.0034645865581355,-0.0079563394381847,0.0153023285810958,0.0128218460850169,0.0123478594494956,0.00441052453733,0.0,0.002669337587668
1960-05-01,-0.1000000000000005,0.06,0.0024052932439673,-0.0011430199488287,-0.0203514276666738,-0.0091933950794365,0.0092719052399612,-0.003395467776178,0.0,0.002662231189678
1960-06-01,0.3000000000000007,-0.8300000000000001,0.0007637415029195,-0.012651599792409,-0.0002500000013023,0.0362770931679605,0.0112780682092057,0.0003367514879624,0.0,0.0046419181494137
1960-07-01,0.0999999999999996,-0.1600000000000001,0.001790922862443,-0.0034807547872302,0.0020606332809065,-0.0251118412158524,0.0009522406166166,-0.0033802065105073,0.0,0.0059366928979063
1960-08-01,0.0999999999999996,0.0,-0.0015969563232669,-0.0011586234430156,-0.0009361251346717,0.0119271551876352,-0.0017142025481309,0.0040567965227857,0.0,0.009165366942371
