sasdate,UNRATE,TB3MS,RPI,INDPRO,DPCERA3M086SBEA,S&P 500,BUSLOANS,CPIAUCSL,OILPRICEx,M2SL
1959-03-01,-0.6952553602465166,0.23982213300220992,,,,,,,,
1959-04-01,-0.9286667006494085,0.36211147401485533,0.3353739194273635,1.9360324416267436,-0.7828963693240778,0.2974881897314378,0.6497759979052738,0.5068341612308052,-0.04753200448136489,-0.5115946960277132
1959-05-01,-0.22843267944072648,-0.27379309925089323,0.27437821908558846,1.317258668897782,1.185808772226954,0.2514761433652539,1.5126862074315899,0.6331342018693914,-0.04753200448136489,0.38556277454016713
1959-06-01,-0.2284326794407244,0.9001845744704867,0.04129034467932673,-0.0781397491163036,0.13001513567884806,-0.4068577713395124,1.6991391887036877,0.12356133208846512,-0.04753200448136489,0.22572368282760283
1959-07-01,0.2383900013650637,-0.029214417225604684,-0.2704073457853143,-2.6409012391805597,-0.7532970065699284,0.9195874247626589,0.8388319381091676,-0.38229759152804416,-0.04753200448136489,-0.374791030027754
1959-08-01,0.23839000136506575,0.4354850786224399,-0.7038583575730792,-3.673813026464959,0.42606526682096535,-0.32443096991227804,0.5613969016736943,-0.12825447738682885,-0.04753200448136489,-0.30408810074253595
1959-09-01,0.7052126821708539,1.6094627523438196,-0.15562658539339488,-0.3153101653706958,0.9291891599431609,-1.2907141770130197,-0.10272928665148053,0.5021416904493462,-0.04753200448136489,-0.9695180680562066
1959-10-01,0.4718013417679598,0.01970131917945173,-0.11223007724723097,-0.9294153268112426,-1.1855276842817342,-0.1897485389085168,-0.15800060156912993,0.3730895717194661,-0.04753200448136489,-1.337930337170576
1959-11-01,0.2383900013650637,0.2398221330022121,0.42498975967713737,0.42093427401895617,-0.3835299577750476,-0.05303088743571427,0.18789901570602652,-1.2581741525883527,-0.04753200448136489,-0.7488280926924464
1959-12-01,-1.1620780410523046,0.8268109698628999,0.6499288458404007,5.865057814561178,-0.47133045875476726,0.7122400111814644,0.9630568658539886,0.750631030941993,-0.04753200448136489,-0.6763288803377014
1960-01-01,-0.2284326794407244,-0.34716670385848003,0.05475800262871451,2.424728433914103,0.023006280538500904,-0.6558182779220788,0.29482727886865034,-1.2545805348767995,-0.04753200448136489,-0.8972648097670624
1960-02-01,-0.9286667006494106,-0.958613408921696,-0.12281762830743743,-1.0956129442707232,0.22032450004197912,-1.2678130949629163,-0.1532631207640557,1.0009624506487214,-0.04753200448136489,-1.0440700850245723
1960-03-01,1.4054467033795401,-1.5945179821874436,-0.060500242436717235,-1.1041774102109978,1.442979691981521,-0.5477793399587142,0.025011576136226715,-0.5025621924906282,-0.04753200448136489,-0.5324970802272582
1960-04-01,-0.4618440198436205,-0.20041949464330647,0.07515174150554946,-0.9965997419956258,1.5955109024447003,0.1921709196372485,0.674178359375491,1.6227362479323786,-0.04753200448136489,-0.607276590868026
1960-05-01,-0.22843267944072648,0.14199066019209602,-0.015351913231526295,-0.30846576437759976,-2.885554807092368,-0.42161556204564976,0.3699613282908116,-1.2517282093848707,-0.04753200448136489,-0.6088294812220102
1960-06-01,0.705212682170856,-2.0347596098329612,-0.15560242743541292,-1.4708132569426493,-0.3591500827746986,0.8461048682368293,0.5683742111886878,0.12261744595503112,-0.04753200448136489,-0.1762282129029208
1960-07-01,0.2383900013650637,-0.39608244026353645,-0.06784234637828479,-0.5445731090395625,-0.06874310584167989,-0.8654229668768666,-0.45286745878570167,-1.24610842858284,-0.04753200448136489,0.10670601345587874
1960-08-01,0.2383900013650637,-0.004756549023076476,-0.3572951768770701,-0.3100416914328884,-0.445384245207038,0.16722687410099954,-0.7165831606063523,1.492480085162997,-0.04753200448136489,0.812235986139445
1960-09-01,-0.2284326794407244,0.435485078622441,-0.1096101588168043,-1.2558724045980385,0.2672572041967771,-1.0168985520744651,-0.36604078585789446,-0.748321009747766,-0.04753200448136489,-0.1251465507168094
1960-10-01,1.405446703379538,-0.4449981766685939,0.031112665420728415,-0.31141753736067784,0.2799999353647629,-0.7201486473849443,-0.25102725258499636,1.7355884894122717,-0.04753200448136489,-0.412550578110478
1960-11-01,0.004978660962169652,0.16644852839462532,-0.5886803847587221,-1.6291772667615583,-0.7637501033054478,0.7232579205033255,-0.17144242986516867,-1.367217587509758,-0.04753200448136489,-0.20435025781410202
1960-12-01,1.172035362976644,-0.29825096745342144,-0.6122438522032715,-2.1400727633838557,-1.8816176842594674,0.49528710768814577,0.45015017899314463,-0.0017610106429222735,-0.04753200448136489,-0.13882135167675028
1961-01-01,0.004978660962169652,-0.029214417225604684,0.5405160947795274,-0.07014053867692047,-0.012260202617472444,1.2323429279251357,-0.709960188061124,-0.001760258858714403,-0.04753200448136489,-0.004674593317279428
1961-02-01,0.705212682170856,0.4354850786224399,0.11139952312469524,-0.3159047487643287,0.12829898877693138,0.9556317943480361,-0.7484146020932079,-0.3717861896217686,-0.04753200448136489,0.47275813677805345
1961-03-01,0.004978660962169652,-0.07813015363066217,0.12905615929621186,0.41944391681125964,1.2244601050884332,0.6957383427757999,-0.3080391247772034,-0.0013873114441783022,-0.04753200448136489,0.04866704913157327
1961-04-01,0.2383900013650637,-0.24933523104836394,-0.03795871987839195,1.862190895949128,-0.26572882598158903,0.5684818306312822,-0.1693468774154143,-0.3717861896217686,-0.04753200448136489,-0.09489625293745212
1961-05-01,0.2383900013650637,-0.004756549023076476,0.4384124705888992,1.350558561502857,0.4370068439332781,0.11701851877707622,-0.7311373961683626,0.7394104449110023,-0.04753200448136489,0.3749024052295675
