m1,m2,n,DM,pval
AR(1),AR(p),428,-0.12683434153043555,0.8990715146141275
AR(1),LinearRegression,428,1.2155169465676905,0.22416898933624885
AR(1),Ridge + Bagging,428,1.2426587110536886,0.2139936249589005
AR(p),LinearRegression,428,1.0992697170098331,0.2716504371790067
AR(p),Ridge + Bagging,428,1.1190078921687427,0.2631367721268769
LinearRegression,Ridge + Bagging,428,-0.4523703667375712,0.65100219116323
