periode,m1,m2,n,DM,pval,sig
1990,AR(1),AR(p),12,12.137849232670511,0.0,***
1990,AR(1),LightGBM + Bagging,12,1.7932370599619105,0.07293502658801732,*
1990,AR(1),LinearRegression,12,0.601753880292291,0.5473379787739576,
1990,AR(1),Ridge + Bagging,12,2.61150944045689,0.009014349904113983,***
1990,AR(p),LightGBM + Bagging,12,1.0943167441230004,0.2738160841290376,
1990,AR(p),LinearRegression,12,-0.18471423805464438,0.853453177997459,
1990,AR(p),Ridge + Bagging,12,1.6524387232270592,0.09844514706411456,*
1990,LightGBM + Bagging,LinearRegression,12,-3.2627816505211844,0.0011032448555512442,***
1990,LightGBM + Bagging,Ridge + Bagging,12,0.47657875082938,0.6336621176259452,
1990,LinearRegression,Ridge + Bagging,12,6.854873620075212,7.137401780710206e-12,***
1991,AR(1),AR(p),12,-12.245161162667548,0.0,***
1991,AR(1),LightGBM + Bagging,12,-0.8398512909677601,0.4009917710421056,
1991,AR(1),LinearRegression,12,-0.7709215240991675,0.44075344822802265,
1991,AR(1),Ridge + Bagging,12,-0.36292421940211833,0.7166614940199478,
1991,AR(p),LightGBM + Bagging,12,-0.29442896193273893,0.7684301387479764,
1991,AR(p),LinearRegression,12,-0.268770573043331,0.7881062396547971,
1991,AR(p),Ridge + Bagging,12,0.20700535663977818,0.8360056751148641,
1991,LightGBM + Bagging,LinearRegression,12,0.0036872778977540903,0.9970579845606098,
1991,LightGBM + Bagging,Ridge + Bagging,12,4.369330550572998,1.2462800099255489e-05,***
1991,LinearRegression,Ridge + Bagging,12,3.374732454342529,0.0007388748536945045,***
1992,AR(1),AR(p),12,-2.487086268630708,0.012879416312943315,**
1992,AR(1),LightGBM + Bagging,12,-4.8145366101512685,1.4754185437837464e-06,***
1992,AR(1),LinearRegression,12,-4.720120847516318,2.357045682188641e-06,***
1992,AR(1),Ridge + Bagging,12,-3.9777748139628284,6.956320317064169e-05,***
1992,AR(p),LightGBM + Bagging,12,-4.83423177984401,1.336607839075299e-06,***
1992,AR(p),LinearRegression,12,-4.593204903448216,4.364900965336815e-06,***
1992,AR(p),Ridge + Bagging,12,-3.7412201564760412,0.00018312901183703545,***
1992,LightGBM + Bagging,LinearRegression,12,0.7651376564044327,0.4441895786474841,
1992,LightGBM + Bagging,Ridge + Bagging,12,4.481341027428173,7.4175474544802e-06,***
1992,LinearRegression,Ridge + Bagging,12,13.164902827072401,0.0,***
1993,AR(1),AR(p),12,15.577960962457526,0.0,***
1993,AR(1),LightGBM + Bagging,12,9.74477873238098,0.0,***
1993,AR(1),LinearRegression,12,7.953770440866829,1.7763568394002505e-15,***
1993,AR(1),Ridge + Bagging,12,9.587421644404367,0.0,***
1993,AR(p),LightGBM + Bagging,12,4.906804249592152,9.257234103721146e-07,***
1993,AR(p),LinearRegression,12,1.5208443637220337,0.12829889846470266,
1993,AR(p),Ridge + Bagging,12,2.1858782787550584,0.028824511791553542,**
1993,LightGBM + Bagging,LinearRegression,12,-5.8898713393423465,3.864963904476326e-09,***
1993,LightGBM + Bagging,Ridge + Bagging,12,-7.399123702632646,1.3722356584366935e-13,***
