feature,avg_rank
USREC,1.3333333333333333
RPI,3.3333333333333335
UNRATE_lag12,3.3333333333333335
S&P500,3.3333333333333335
INDPRO,4.0
TB3MS,5.666666666666667
CPIAUCSL,7.166666666666667
BUSLOANS,7.166666666666667
OILPRICEx,8.333333333333334
M2SL,8.833333333333334
DPCERA3M086SBEA,9.666666666666666
